Particulars,Bank,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
debt ratio,Siddhartha Bank,,,,,,,0.962201 nan 2.703320,1.437918 nan 3.960864,-0.043774 nan 0.044054,0.213780 -0.494341 0.724890,0.730402 -0.627487 2.090567,0.442548 0.087564 1.329633,-0.089225 -0.110342 -0.076093,0.212264 -0.153144 0.720885,0.731917 0.385015 2.094572,0.592535 0.481405 1.726120,-0.290723 -1.157663 -0.608748,-0.290723 -0.659072 -0.608748,-0.277088 -1.039872 -0.572703,-0.292238 -0.629507 -0.612752,-0.295268 -0.299171 -0.620762,-0.261938 -0.468046 -0.532654,-0.266483 -0.460532 -0.544669,-0.231637 -0.388781 -0.452556,0.036522 0.376699 0.256315,-0.193762 -0.422433 -0.352433,-0.251333 -0.403102 -0.504620,-0.290723 -0.567639 -0.608748,-0.278603 -0.806370 -0.576708,-0.305873 -1.069735 -0.648797,-0.313449 -0.852318 -0.668821,-0.299813 -0.378196 -0.632777,-0.298298 -0.721655 -0.628772,0.206204 -0.342467 0.704866,-0.266483 -0.876173 -0.544669,-0.255878 -0.864247 -0.516634,-0.133161 -0.496257 -0.192236,-0.195277 -0.749607 -0.356438,-0.213457 -0.404424 -0.404497,-0.230122 -0.508837 -0.448551,-0.234667 -0.251185 -0.460566,-0.031654 0.130781 0.076093,-0.251333 -0.821745 -0.504620,-0.195277 -0.672724 -0.356438,-0.195277 -0.141756 -0.356438,,-0.107405 -0.632989 -0.124152,,,,,,,,,,,-0.257393 0.276961 -0.520639,-0.257393 -0.263738 -0.520639,-0.258908 -0.385789 -0.524644,-0.258908 -0.856365 -0.524644,-0.258908 -0.351625 -0.524644,-0.257393 -0.261919 -0.520639,0.022887 1.875110 0.220270,,,,
interest income to assets ratio,Siddhartha Bank,,,,,,,-0.039897 nan -0.213436,0.053043 nan 0.359981,0.184214 nan 1.169271,-0.134815 1.320495 -0.799053,-0.007599 0.995392 -0.014164,0.115662 0.494844 0.746326,0.306157 0.536366 1.921627,-0.091311 1.027186 -0.530646,0.058316 0.514830 0.392515,0.236946 0.682894 1.494614,0.448533 0.716454 2.800053,-0.095266 0.537978 -0.555046,0.070840 0.783329 0.469784,0.231673 0.731022 1.462080,0.370094 0.793451 2.316105,-0.130201 0.431126 -0.770586,0.012176 0.492258 0.107840,0.157848 0.722202 1.006600,0.289678 0.718956 1.819957,-0.149976 0.127399 -0.892590,-0.020782 -0.267010 -0.095499,0.097865 0.538031 0.636522,0.213217 0.597574 1.348210,-0.163818 0.334394 -0.977992,-0.057035 0.448989 -0.319173,0.042496 0.546671 0.294912,0.151256 0.662451 0.965932,-0.171068 0.043250 -1.022727,-0.064945 0.575284 -0.367974,0.026018 0.782472 0.193242,0.086660 -0.082688 0.567387,-0.173705 0.629460 -1.038994,-0.066923 0.608014 -0.380174,0.061612 0.652896 0.412849,0.219808 1.489956 1.388878,-0.137452 0.202942 -0.815321,0.007561 0.418088 0.079372,0.147301 -0.256541 0.941531,0.270563 0.411847 1.702020,-0.207981 -1.581739 -1.250467,-0.158545 -2.566872 -0.945458,-0.117677 0.556590 -0.693317,-0.113063 0.443433 -0.664850,-0.120973 0.332159 -0.713651,-0.132179 0.079126 -0.782786,-0.132179 0.335099 -0.782786,-0.136133 0.555556 -0.807187,-0.153271 -0.143868 -0.912924,-0.169091 -0.186861 -1.010526,-0.171728 -0.125060 -1.026794,-0.169091 -0.084148 -1.010526,-0.155249 0.658572 -0.925124,-0.153930 0.066646 -0.916990,-0.133497 0.104308 -0.790920,-0.112404 0.154697 -0.660783,-0.103176 0.365581 -0.603848,-0.109767 0.395729 -0.644516,-0.112404 -0.805837 -0.660783,,,,
interest income margin,Siddhartha Bank,,,,,,,-0.033743 nan -0.055145,0.135220 nan 0.456603,0.369463 nan 1.166071,-0.321748 0.311086 -0.927443,-0.075984 0.122241 -0.183082,0.092979 -0.720877 0.328666,0.442424 -0.435232 1.387053,-0.275667 0.225778 -0.787875,-0.033743 -0.156458 -0.055145,0.281142 -0.102264 0.898566,0.611387 0.022264 1.898801,-0.367828 -0.854218 -1.067010,-0.087504 -0.035485 -0.217974,0.173620 0.095653 0.572909,0.523066 0.294220 1.631296,-0.348628 -1.255135 -1.008857,0.000817 -0.467629 0.049530,0.357943 -0.167521 1.131179,0.726589 0.244739 2.247720,-0.340948 -0.201290 -0.985596,-0.006863 -0.278440 0.026269,0.300342 0.134890 0.956720,0.668988 0.500972 2.073260,-0.321748 -0.501792 -0.927443,-0.049103 -0.041386 -0.101668,0.215861 0.039298 0.700846,0.496185 -0.141571 1.549882,-0.333268 -0.207406 -0.962334,-0.037583 -0.133096 -0.066776,0.261942 0.115478 0.840413,0.500025 -0.255226 1.561512,-0.294867 0.207514 -0.846028,-0.010703 0.089911 0.014639,0.246581 0.035385 0.793891,0.638268 0.243502 1.980215,-0.379349 -0.200897 -1.101902,-0.056783 -0.362387 -0.124929,0.204341 -0.403889 0.665954,0.484665 -0.247495 1.514990,-0.183505 0.606713 -0.508740,0.104499 0.387071 0.363557,-0.267987 -0.659268 -0.764614,-0.248787 -0.246746 -0.706461,-0.244946 0.044249 -0.694830,-0.283347 -0.622807 -0.811136,-0.287187 -0.510888 -0.822767,-0.294867 0.599643 -0.846028,-0.329428 -0.427240 -0.950704,-0.371668 -0.631113 -1.078641,-0.356308 -0.510398 -1.032118,-0.337108 -0.189527 -0.973965,-0.314068 0.939675 -0.904181,-0.387029 -0.596055 -1.125163,-0.317908 -0.274998 -0.915812,-0.256467 -0.014681 -0.729722,-0.271827 -0.433529 -0.776244,-0.306387 -0.084255 -0.880920,-0.302547 -1.265890 -0.869289,,,,
return on investment,Siddhartha Bank,,,,,,,-0.025860 nan 0.048397,0.116121 nan 0.473700,0.307796 nan 1.047860,-0.295623 0.349563 -0.759680,-0.103949 0.212984 -0.185520,-0.025860 -0.268614 0.048397,0.208409 -0.246897 0.750148,-0.295623 0.161690 -0.759680,-0.139444 -0.153049 -0.291846,0.144518 0.002541 0.558761,0.350390 -0.039470 1.175451,-0.458901 -1.207299 -1.248779,-0.281425 -0.269167 -0.717150,-0.139444 -0.195426 -0.291846,0.258102 0.280217 0.899004,-0.487297 -1.312815 -1.333840,-0.274326 -0.869818 -0.695885,0.094824 -0.279823 0.409905,0.499470 0.319247 1.622020,-0.331118 -0.303262 -0.866006,-0.068454 -0.286598 -0.079194,0.137418 -0.476077 0.537496,0.833125 1.361628 2.621483,-0.281425 0.040544 -0.717150,-0.004562 -0.212170 0.112192,0.293597 0.244029 1.005330,0.534965 0.297722 1.728346,-0.302722 -0.274789 -0.780945,0.101923 0.515192 0.431170,0.407182 0.573622 1.345573,0.648550 -0.237375 2.068589,-0.210435 0.063619 -0.504498,0.094824 -0.215413 0.409905,0.385885 0.019482 1.281777,0.719540 -0.103184 2.281241,-0.352416 -0.818482 -0.929802,0.038032 -0.187220 0.239783,0.336192 -0.131679 1.132921,0.598856 -0.020702 1.919733,-0.217534 -0.331019 -0.525763,0.073527 -0.468778 0.346109,-0.253029 -0.314437 -0.632089,-0.160741 0.075171 -0.355642,-0.302722 -1.402110 -0.780945,-0.316920 -1.394192 -0.823476,-0.409208 -1.186425 -1.099923,-0.238831 2.150823 -0.589559,-0.352416 -0.482114 -0.929802,-0.387911 -1.658918 -1.036128,-0.174939 0.910397 -0.398172,-0.309821 0.233919 -0.802211,-0.253029 0.847532 -0.632089,-0.345317 -0.055095 -0.908537,-0.387911 -0.975987 -1.036128,-0.231732 0.132180 -0.568294,-0.402109 -1.227440 -1.078658,-0.345317 -0.104535 -0.908537,-0.451802 -1.197358 -1.227514,,,,
commission to operating income,Siddhartha Bank,,,,,,,0.002006 nan -0.102710,0.029071 nan -0.095107,0.019753 nan -0.097725,-0.275300 -0.573423 -0.180613,-0.303253 -1.421037 -0.188465,-0.278850 -0.460634 -0.181610,-0.283731 -0.618432 -0.182981,-0.261990 -0.738041 -0.176873,-0.279294 -0.812849 -0.181734,-0.277075 -0.714122 -0.181111,-0.224720 -0.242401 -0.166403,-0.082739 0.319361 -0.126517,-0.165709 -0.508082 -0.149826,-0.162160 -0.428314 -0.148828,-0.139975 0.008525 -0.142596,-0.103593 -0.053954 -0.132376,-0.199873 -0.267055 -0.159423,-0.218064 -0.220398 -0.164534,-0.236256 -0.300012 -0.169644,-0.078746 -0.149995 -0.125396,-0.105811 -0.115756 -0.132999,-0.129770 -0.091315 -0.139730,-0.181682 -0.138146 -0.154313,27.217940 3.997577 7.542913,-0.094719 0.120856 -0.129883,-0.126221 0.031508 -0.138732,-0.151955 0.030901 -0.145962,-0.211409 -0.355228 -0.162664,-0.223832 -0.289022 -0.166154,-0.235812 -0.368495 -0.169519,-0.269976 -0.537930 -0.179117,-0.316564 -0.792075 -0.192204,-0.332536 -0.960599 -0.196692,-0.334755 -0.977817 -0.197315,-0.328100 -1.084499 -0.195445,-0.281512 -0.975847 -0.182358,-0.165709 -0.290223 -0.149826,-0.162160 -0.100885 -0.148828,-0.162603 0.027254 -0.148953,0.028627 -0.514754 -0.095232,0.066341 -0.273734 -0.084637,0.152417 0.587992 -0.060456,0.143986 0.031790 -0.062825,0.001562 -0.701435 -0.102835,0.150642 -0.004411 -0.060955,-0.019735 -0.210870 -0.108818,-0.001988 -0.048980 -0.103832,0.027740 -0.660917 -0.095481,0.150642 0.009454 -0.060955,0.151085 -0.190851 -0.060830,-0.006868 -0.352205 -0.105203,0.144430 -0.610899 -0.062700,0.170164 -0.216970 -0.055471,0.041494 -0.252688 -0.091617,0.052143 -0.121369 -0.088626,0.016647 -0.504300 -0.098597,0.034395 0.407285 -0.093611,0.136000 0.793396 -0.065068,,,,
staff expense to income ratio,Siddhartha Bank,,,,,,,-1.145888 nan -0.568729,-1.125471 nan -0.558326,-0.895509 nan -0.441153,-1.144814 -1.294433 -0.568182,-1.085711 -0.911253 -0.538067,-0.861122 -0.239256 -0.423632,-0.841780 -0.541431 -0.413777,-0.892286 -0.629197 -0.439511,-0.714979 -0.165437 -0.349167,-0.743992 -0.027520 -0.363951,-0.593550 -0.269560 -0.287296,-0.450630 -0.129169 -0.214474,-0.644056 -0.571459 -0.313030,-0.616116 -0.445470 -0.298794,-0.805244 -0.622369 -0.395160,-0.762260 -0.388146 -0.373259,-0.943866 -0.443293 -0.465793,-0.930971 -0.408498 -0.459222,-0.947090 -0.576411 -0.467435,-0.841780 -1.121717 -0.413777,-0.909479 -0.784817 -0.448271,-0.855750 -0.506912 -0.420895,-1.043802 -0.989176 -0.516713,13.599605 3.745287 6.944558,-0.746142 -0.405473 -0.365046,-0.678443 -0.336071 -0.330551,-0.632235 -0.352772 -0.307007,-0.579580 -0.601231 -0.280178,-0.704233 -0.508248 -0.343692,-0.732172 -0.433168 -0.357928,-0.950313 -0.714438 -0.469078,-0.934194 -0.874551 -0.460865,-0.934194 -0.672993 -0.460865,-0.709606 -0.402714 -0.346430,-0.612893 -0.296655 -0.297151,0.060874 -0.168381 0.046153,-0.381856 -0.292318 -0.179431,-0.379707 -0.230598 -0.178336,-0.463525 -0.389375 -0.221044,-0.059480 -0.656064 -0.015171,0.209167 -0.009606 0.121713,0.920544 1.301088 0.484182,0.947409 0.844154 0.497871,0.629331 0.144141 0.335800,0.738939 1.055597 0.391649,0.847472 0.491572 0.446950,1.663084 0.927659 0.862529,0.701328 -0.017521 0.372485,0.604615 -0.251064 0.323207,0.730342 0.421096 0.387268,0.383250 -0.250491 0.210414,0.589571 -0.373608 0.315541,1.509418 1.772699 0.784232,1.387990 1.512000 0.722360,-0.016497 -0.851332 0.006731,0.395071 -0.280064 0.216437,0.992541 0.704307 0.520867,0.677687 0.894607 0.360439,,,,
net profit margin,Siddhartha Bank,,,,,,,0.146805 nan 0.025012,0.097007 nan -0.001599,0.086854 nan -0.007025,0.081536 0.603355 -0.009867,0.018684 0.407946 -0.043453,-0.142314 0.236532 -0.129487,-0.138930 0.178243 -0.127679,-0.030148 0.471791 -0.069548,-0.170840 0.182782 -0.144730,-0.032081 0.256590 -0.070581,-0.166005 0.071788 -0.142147,-1.127159 -1.006170 -0.655766,-0.796460 -0.305275 -0.479048,-0.779055 -0.305404 -0.469747,-0.385020 0.145687 -0.259184,-1.423531 -1.369116 -0.814140,-0.947788 -1.000147 -0.559914,-0.517493 -0.547248 -0.329974,-0.268986 -0.185410 -0.197177,-0.494286 -0.587376 -0.317573,-0.382603 -0.775263 -0.257892,-0.389855 -0.975985 -0.261767,0.239633 0.633485 0.074617,13.810372 3.962300 7.326513,0.033672 -0.162777 -0.035444,0.112962 0.224110 0.006927,0.101842 0.275847 0.000984,-0.078495 -0.276249 -0.095384,0.367271 0.456913 0.142824,0.350833 0.159432 0.134040,0.425772 0.009657 0.174085,0.521501 0.277004 0.225241,0.448979 0.003643 0.186487,0.306836 0.052977 0.110529,0.368238 -0.306592 0.143341,-0.205650 -0.721691 -0.163332,0.274927 0.085464 0.093477,0.315539 0.289895 0.115179,0.268158 0.227798 0.089860,-0.109921 -0.598518 -0.112177,0.009981 -0.752612 -0.048104,-0.034982 -0.246468 -0.072131,0.457682 0.311398 0.191137,-0.359396 -1.657765 -0.245491,-0.362297 -1.561420 -0.247041,-0.876717 -0.782007 -0.521935,0.334395 2.063075 0.125255,-0.327003 -0.276975 -0.228181,-0.597751 -2.091144 -0.372862,0.637535 0.764890 0.287247,-0.280589 0.361931 -0.203378,0.042374 0.209117 -0.030794,0.015299 0.334050 -0.045262,-0.634495 -1.132636 -0.392497,0.271059 0.301377 0.091410,-0.825952 -1.302619 -0.494808,-0.346826 -0.128381 -0.238773,-1.113138 -1.072701 -0.648273,,,,
income tax portion of operating profit,Siddhartha Bank,,,,,,,-0.046102 nan 0.046728,-0.046102 nan 0.046728,-0.046146 nan -0.911844,-0.046094 1.067157 0.229043,-0.046145 -0.699055 -0.892479,,-0.046144 0.960832 -0.872405,-0.046093 1.192480 0.249589,-0.046146 -0.775702 -0.901453,-0.046138 -0.780221 -0.723625,-0.046139 1.406176 -0.759285,-0.046029 1.800818 1.657099,,,-0.046140 -0.782923 -0.769203,-0.046117 -0.635544 -0.275630,-0.046143 -1.249267 -0.849261,,-0.046146 -1.165812 -0.899799,-0.046134 -1.893842 -0.648053,,,-0.046143 -1.206358 -0.852095,-0.046118 -0.419926 -0.299482,-0.046135 -0.604359 -0.666238,,,-0.046108 0.464085 -0.073005,-0.046143 -0.333335 -0.846900,,,,,,,,,,,,,,-0.046137 -0.461857 -0.715595,-0.046133 -0.474108 -0.627271,-0.046128 -0.385266 -0.509664,-0.046120 -0.635852 -0.347659,-0.046130 -0.667349 -0.561619,-0.046057 -0.108162 1.036236,-0.045964 0.704124 3.075709,-0.046048 0.119380 1.244056,-0.046026 -0.102999 1.702914,-0.046069 -0.116175 0.768195,-0.046018 0.007490 1.878144,-0.046017 0.004079 1.915930,-0.046126 -0.343013 -0.459834,-0.046121 -0.320151 -0.352382,-0.046090 -0.392177 0.308392,-0.046074 -0.278203 0.656019,,,,
loan to deposit ratio,Siddhartha Bank,,,,,,,-0.027432 nan 1.765361,-0.028206 nan 1.595698,-0.038893 nan -0.748055,-0.031951 0.789901 0.774408,-0.031746 0.574158 0.819451,-0.036655 0.227068 -0.257083,-0.039537 0.431215 -0.889191,-0.027528 1.118841 1.744340,-0.036867 0.060987 -0.303628,-0.035860 0.058223 -0.082916,-0.037627 0.147418 -0.470288,-0.038175 0.385167 -0.590404,-0.039599 0.066926 -0.902704,-0.038359 0.381941 -0.630943,-0.042652 0.206614 -1.572347,-0.039469 0.137772 -0.874176,-0.040674 0.026584 -1.138430,-0.040133 0.205810 -1.019816,-0.040263 0.660159 -1.048344,-0.040852 0.130156 -1.177468,-0.042111 -0.052310 -1.453733,-0.042611 -0.373386 -1.563339,-0.043152 -0.150036 -1.681953,-0.041502 0.117694 -1.320105,-0.039694 0.035612 -0.923724,-0.038757 0.556286 -0.718026,-0.040448 0.784990 -1.088883,-0.038086 -0.249326 -0.570885,-0.039215 0.674322 -0.818623,-0.038661 0.587001 -0.697006,-0.027528 0.906532 1.744340,-0.038346 0.357949 -0.627940,-0.038257 0.210579 -0.608421,-0.035272 0.678704 0.046208,-0.036744 0.452868 -0.276602,-0.034922 0.723738 0.122782,-0.035251 0.338110 0.050713,-0.035121 0.124322 0.079240,-0.038770 -0.259120 -0.721029,-0.033854 0.192859 0.357007,-0.032998 0.278460 0.544687,-0.027966 0.852122 1.648248,-0.031335 0.409228 0.909538,-0.030623 0.185058 1.065688,-0.029534 0.502215 1.304418,-0.028377 0.574309 1.558161,-0.033293 0.485894 0.480125,-0.035771 -0.018114 -0.063397,-0.033704 0.124794 0.390039,-0.032951 -0.479626 0.555197,-0.033546 -0.232256 0.424572,-0.028788 0.232845 1.468075,-0.029315 -0.170650 1.352464,-0.029322 0.022286 1.350962,-0.029671 0.290325 1.274389,-0.029911 0.432788 1.221838,-0.034601 -0.785749 0.193350,-0.035491 -0.634898 -0.001838,,,,
reserves,Sunrise Bank,,,,,,,,,,,,,,,,,,-0.081647 -0.746724 -1.129578,-0.081343 -0.644680 -1.117279,-0.080824 -0.618829 -1.096249,-0.079971 -0.693524 -1.061717,-0.081106 -0.806050 -1.107656,-0.080164 -0.684150 -1.069522,-0.078994 -0.653011 -1.022150,-0.077715 -0.737806 -0.970347,-0.076532 -0.714019 -0.922411,-0.075102 -0.674766 -0.864522,-0.074401 -0.772059 -0.836122,-0.076863 -1.028195 -0.935839,-0.075657 -0.852172 -0.886982,-0.074334 -0.788289 -0.833417,-0.073359 -0.834799 -0.793937,-0.071618 -0.839733 -0.723422,-0.076530 -1.046168 -0.922359,-0.073405 -1.010741 -0.795802,-0.070559 -0.655612 -0.680523,-0.055956 -0.280340 -0.089096,-0.069578 -0.855859 -0.640784,-0.065051 -0.880542 -0.457445,-0.057660 -0.624527 -0.158127,-0.053820 -0.640046 -0.002592,-0.061213 -0.920431 -0.302009,-0.056438 -0.715251 -0.108628,-0.051893 -0.760667 0.075444,-0.044350 -0.511130 0.380949,-0.035566 -0.631277 0.736704,-0.030994 -0.534622 0.921860,-0.052602 -0.540818 0.046750,-0.050531 -0.591937 0.130603,-0.046055 -0.253742 0.311895,-0.046190 -0.677977 0.306402,-0.038468 -0.749565 0.619166,-0.039351 -0.721701 0.583418,-0.031796 -0.638312 0.889374,-0.034487 -0.667604 0.780385,-0.035431 -0.727727 0.742161,-0.037433 -0.843344 0.661070,-0.024195 -0.630530 1.197197,-0.025693 -0.687567 1.136559,-0.023131 -0.654869 1.240293,-0.018837 -0.641755 1.414208,0.000882 -0.382214 2.212816,0.006360 -0.486178 2.434701,0.013073 -0.481464 2.706562,,,,
debenture and bond,Sunrise Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borrowings,Sunrise Bank,,,,,,,,,,,,,,,,,,-0.476383 -0.629469 -0.641539,-0.459200 -0.778202 -0.571391,,,,,,,,,,,,0.026311 1.488991 1.410648,-0.489452 -0.496147 -0.694889,,,-0.460077 -0.930168 -0.574972,-0.452104 -1.023639 -0.542421,,,-0.460077 -0.607353 -0.574972,,,,-0.457804 -1.091108 -0.565690,-0.098508 -0.516111 0.901093,-0.283170 -0.459777 0.147229,-0.282817 -0.938820 0.148673,-0.242919 -0.933415 0.311552,,,,,-0.008175 -0.200662 1.269865,-0.012560 -0.228800 1.251962,-0.480011 -0.818936 -0.656350,-0.479015 -0.618166 -0.652281,-0.491374 -0.780426 -0.702735,-0.487985 -0.791905 -0.688901,-0.487387 -0.801001 -0.686460,-0.489779 -0.872939 -0.696225,-0.481606 -1.093583 -0.662860,0.489807 -0.117263 3.302815,-0.445793 -0.786347 -0.516657,-0.464606 -0.813192 -0.593461,-0.006189 -0.543050 1.277970,,,,
deposits,Sunrise Bank,,,,,,,,,,,,,,,,,,-0.060939 -0.487292 -1.274350,-0.060604 -0.488600 -1.249576,-0.060164 -0.446321 -1.217053,-0.059764 -0.595999 -1.187470,-0.059100 -0.461397 -1.138380,-0.058528 -0.433554 -1.096042,-0.058523 -0.545970 -1.095697,-0.058123 -0.705608 -1.066128,-0.057127 -0.470994 -0.992477,-0.057375 -0.711843 -1.010782,-0.057097 -0.785659 -0.990252,-0.056907 -0.938276 -0.976191,-0.056504 -0.961388 -0.946406,-0.055964 -0.997580 -0.906451,-0.055734 -1.109059 -0.889456,-0.054409 -0.982269 -0.791515,-0.053763 -0.681828 -0.743749,-0.053050 -1.010213 -0.691039,-0.051575 -0.957717 -0.581952,-0.047806 -0.766981 -0.303269,-0.046921 -0.759073 -0.237876,-0.045752 -0.725541 -0.151389,-0.045577 -0.771314 -0.138501,-0.044430 -0.832246 -0.053649,-0.044615 -0.947239 -0.067324,-0.043620 -0.981295 0.006258,-0.042928 -0.974494 0.057405,-0.041867 -0.561854 0.135858,-0.039634 -0.847759 0.300962,-0.039379 -0.907968 0.319845,-0.040438 -1.072066 0.241473,-0.039240 -1.020312 0.330092,-0.038476 -0.251812 0.386601,-0.036932 -1.013039 0.500752,-0.035295 -1.080240 0.621799,-0.033923 -1.211783 0.723227,-0.033382 -1.190512 0.763246,-0.033092 -1.148157 0.784650,-0.029941 -1.105397 1.017645,-0.028209 -1.146873 1.145748,-0.020043 -0.830011 1.749486,-0.019735 -0.906646 1.772302,-0.020070 -0.977608 1.747495,-0.018868 -1.056722 1.836353,-0.021069 -1.144894 1.673656,-0.018845 -1.005324 1.838064,-0.018764 -1.114176 1.844060,,,,
income tax liability,Sunrise Bank,,,,,,,,,,,,,,,,,,,-0.116874 -1.369638 -1.033781,-0.113425 -1.150539 -0.898902,-0.107537 0.346083 -0.668623,-0.116335 -0.619779 -1.012699,-0.109476 0.038731 -0.744441,-0.101706 -0.535634 -0.440614,-0.093100 0.521427 -0.104040,-0.112263 -0.499116 -0.853452,-0.102769 0.213410 -0.482170,-0.097127 0.544556 -0.261547,-0.094153 -0.217565 -0.145219,-0.112082 -0.792105 -0.846374,-0.098106 0.323108 -0.299833,-0.091632 0.150668 -0.046626,-0.082449 0.146586 0.312485,-0.110192 -0.819603 -0.772448,-0.089436 0.663001 0.039249,-0.070530 0.724321 0.778598,-0.039352 0.776370 1.997855,-0.098782 -0.582364 -0.326240,-0.068714 1.125227 0.849623,-0.047173 0.564325 1.691997,-0.039057 0.209719 2.009420,-0.102592 -0.402027 -0.475230,-0.070057 0.793786 0.797110,-0.039701 0.726664 1.984221,-0.007881 0.878405 3.228593,,,,,-0.099126 -0.293102 -0.339691,,,,-0.101245 -0.487500 -0.422569,-0.093914 -0.432057 -0.135897,-0.088482 -0.451719 0.076542,-0.089715 -0.563501 0.028336,-0.080915 -0.467274 0.372475,-0.087092 -0.526605 0.130909,-0.086664 -0.509765 0.147663,-0.114227 -0.538137 -0.930240,-0.118390 -0.573123 -1.093062,-0.116572 -0.594298 -1.021975,-0.118297 -0.610035 -1.089402,,,,
other liabilities,Sunrise Bank,,,,,,,,,,,,,,,,,,-0.115367 -0.888542 -0.948926,-0.115640 -0.894596 -0.955609,-0.116830 -0.919223 -0.984804,-0.118349 -1.006927 -1.022065,-0.111091 -0.645456 -0.844064,-0.114485 -0.804793 -0.927300,-0.116422 -0.822330 -0.974802,-0.114842 -0.786792 -0.936050,-0.109086 -1.198079 -0.794893,-0.109776 -1.094316 -0.811828,-0.109840 -1.048329 -0.813386,-0.116047 -1.080453 -0.965593,-0.110968 -0.893810 -0.841063,-0.115115 -0.857249 -0.942741,-0.094247 -0.553900 -0.431003,-0.110965 -0.824378 -0.840982,-0.102529 -1.011072 -0.634096,-0.102912 -0.543054 -0.643509,-0.105708 -0.661612 -0.712073,-0.104507 -0.641380 -0.682606,-0.073642 -0.511390 0.074270,-0.080313 -0.751851 -0.089318,-0.069499 -0.575050 0.175865,-0.061409 -0.511945 0.374256,0.041380 0.409079 2.894897,-0.062692 -0.490471 0.342782,-0.064606 -0.705599 0.295868,-0.060229 -0.545857 0.403194,0.073236 0.771755 3.676086,0.002678 -0.160270 1.945834,-0.087395 -0.632135 -0.262979,-0.085572 -0.576043 -0.218278,-0.081469 -0.255346 -0.117677,-0.077720 -0.392584 -0.025724,-0.079255 -0.509008 -0.063384,-0.062243 -0.428805 0.353792,-0.070281 -0.754888 0.156687,-0.070499 -0.504803 0.151341,-0.061170 -0.490409 0.380113,-0.045724 -0.351262 0.758888,-0.057229 -0.710057 0.476756,-0.064816 -0.603479 0.290703,-0.062859 -0.603419 0.338699,-0.040592 -0.669053 0.884734,-0.027590 -0.671689 1.203578,-0.024525 -0.508700 1.278752,-0.034764 -0.711093 1.027659,,,,
total assets,Sunrise Bank,,,,,,,,,,,,,,,,,,-0.058538 -0.518205 -1.220166,-0.058280 -0.513822 -1.199918,-0.057985 -0.485067 -1.176655,-0.057689 -0.642308 -1.153398,-0.057185 -0.516901 -1.113706,-0.056780 -0.510607 -1.081916,-0.056761 -0.623281 -1.080385,-0.056425 -0.763892 -1.053922,-0.055664 -0.583712 -0.994094,-0.055805 -0.565943 -1.005176,-0.055587 -0.837008 -0.987980,-0.055498 -0.983212 -0.980977,-0.055134 -1.000063 -0.952376,-0.054398 -0.943774 -0.894459,-0.054346 -1.094876 -0.890386,-0.053499 -1.004670 -0.823714,-0.052957 -1.021260 -0.781082,-0.052282 -1.088156 -0.727987,-0.051141 -0.925528 -0.638194,-0.047972 -0.817115 -0.388842,-0.047071 -0.788138 -0.317952,-0.046169 -0.831879 -0.246991,-0.045577 -0.788091 -0.200423,-0.044307 -0.823959 -0.100520,-0.043458 -0.840957 -0.033697,-0.043550 -0.989821 -0.040945,-0.042710 -0.963675 0.025193,-0.041491 -1.050383 0.121038,-0.038981 -0.790399 0.318553,-0.039333 -0.913833 0.290867,-0.039515 -0.998992 0.276523,-0.038718 -1.121525 0.339227,-0.037756 -0.251710 0.414915,-0.036445 -1.049658 0.518111,-0.034698 -1.145887 0.655560,-0.033006 -1.122928 0.788636,-0.032092 -1.108458 0.860603,-0.031816 -1.142637 0.882321,-0.028783 -1.092552 1.120913,-0.027562 -1.142884 1.216980,-0.022364 -0.899578 1.625959,-0.020122 -0.900827 1.802408,-0.021685 -1.065078 1.679397,-0.019441 -1.025381 1.855940,-0.020393 -1.099935 1.781095,-0.020379 -1.019607 1.782133,-0.021048 -1.148134 1.729493,,,,
