Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080,Bank
income tax portion of operating profit,,,,,,,,,,19.66,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,0.15,0.29,0.91,,,,,,,,,,,,,Machapuchre Bank
loan to deposit ratio,,,,,,,,,,85.79,100.26,92.42,80.77,81.9,87.51,88.69,89.76,83.33,79.4,75.13,74.75,77.67,82.53,81.12,79.77,81.3,81.22,81.44,79.56,81.48,114.25,84.52,78.77,82.7,83.94,84.26,84.59,85.79,89.03,91.41,88.47,90.25,91.59,90.91,88.81,92.08,87.65,95.48,91.23,103.59,92.57,95.07,91.25,90.62,91.29,92.92,89.22,99.53,98.27,95.14,90.69,94.33,90.1,88.3,,,,,Machapuchre Bank
reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329754.0,2730452.0,2757255.0,2591791.0,2147425.0,1543601.0,949041.0,384716.0,1534512.0,2263504.0,2764765.0,3510758.0,4759372.0,5047550.0,5976684.0,24072518.0,19606058.0,19650014.0,15611054.84,13345332.86,13254879.91,13521116.42,14176228.39,12985435.81,13696645.71,15593407.58,16840596.35,15148358.56,17225601.42,17469662.63,17552091.72,17816719.88,18784993.26,19983670.7,20679800.14,,,,,Nepal Bank Limited
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nepal Bank Limited
borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300031.0,428225.0,12495.0,16162.0,30772.0,3410668.0,109500.0,43163.0,,109500.0,840500.0,551350.0,215500.0,950000.0,50000.0,906280.0,1000000.0,736440.0,1000000.0,,,2215500.0,7304175.0,6646425.0,6486120.0,7042775.0,,,,,Nepal Bank Limited
deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70824706.0,69271267.0,68696741.0,78007218.0,77542517.0,80220823.0,82631201.0,89410019.0,86223772.0,84833964.0,83954700.0,93944014.0,92720739.0,91898690.0,90813275.0,99831378.0,93431456.0,105678286.0,105632627.1,117200788.9,114798221.3,117122878.9,122700366.6,142114285.0,145469372.8,148994868.8,151600836.8,162743229.0,173098590.2,182840958.5,187373810.6,196063952.1,196581959.0,212837603.4,229334965.9,,,,,Nepal Bank Limited
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3132310.79,3705208.378,3393030.566,3601639.585,3407995.036,3782498.389,3988926.032,4467938.606,5144229.478,4431395.739,4476712.154,4324720.735,4083129.792,4259747.017,4086766.472,4075026.767,4004168.965,,,,,Nepal Bank Limited
other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8483302.0,6515672.0,10336487.0,4506401.0,4499742.0,6222837.0,13907438.0,12109183.0,17687569.0,12387216.0,11547307.0,7195552.0,15543886.0,8003828.0,5889668.0,6548293.0,15358129.0,11534463.0,8207672.769,13437844.87,6109198.024,5336264.504,6220923.114,5906052.426,6082396.002,6399240.529,4139301.069,3286751.102,3113259.797,4529556.921,5432893.242,5040139.639,5059754.121,5446464.348,5263030.226,,,,,Nepal Bank Limited
total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83443256.0,79521488.0,82740974.0,86386830.0,86359835.0,91365061.0,102054600.0,108368920.0,111945331.0,106284193.0,106152556.0,112705481.0,121082821.0,113023503.0,114132958.0,138604351.0,138246998.0,146673911.0,147263447.9,165911379.2,156211362.7,163820359.8,169339976.8,190426555.7,195037783.6,207307933.4,211410851.0,222617304.1,232529441.0,241174513.5,245267401.7,259502396.3,252456185.9,262762914.5,278768136.2,,,,,Nepal Bank Limited
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42137910.0,45001497.0,49584194.0,53374544.0,53095999.0,55131915.0,59820475.0,63527264.0,66031270.0,70815546.0,74209486.0,74372887.0,73695712.0,78710279.0,79705932.0,79632495.0,79049145.0,85798472.0,91338638.5,95717344.73,96945929.31,102556224.9,105839813.9,107811538.7,112399234.6,120076187.1,133090259.4,141094609.3,154874549.1,169911308.4,175424996.5,233757200.6,173542135.2,176308305.0,179491222.8,,,,,Nepal Bank Limited
interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1081114.0,2308101.0,3557628.0,5060439.0,1130223.0,2650233.0,4154818.0,6349743.0,1566952.0,3309407.0,5263772.0,7562262.0,2036715.0,4248797.0,6606328.0,9260586.0,1244998.0,3167249.0,2573422.905,2793628.795,2883732.347,2857982.503,2930975.406,2854280.686,2940631.287,2802630.797,3051059.794,3133038.729,3345704.15,3640384.189,4325192.676,5232501.951,5385108.829,5842628.677,6660287.896,,,,,Nepal Bank Limited
interest expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484625.0,921489.0,1354653.0,1743980.0,431033.0,839870.0,1247122.0,1658478.0,392573.0,763093.0,1190346.0,1728360.0,642689.0,1308468.0,2013840.0,2831226.0,907689.0,1835350.0,1015416.455,1339752.406,1555470.003,1441165.137,1457808.414,1453579.445,1459038.702,1312824.594,1308390.468,1386470.734,1686686.783,2274471.166,2619069.814,3078793.881,3477912.894,3900950.151,4018037.311,,,,,Nepal Bank Limited
net interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596489.0,1386612.0,2202975.0,3316459.0,699190.0,1810363.0,2907696.0,4691265.0,1174379.0,2546314.0,4073426.0,5833902.0,1394026.0,2940329.0,4592488.0,6429360.0,337309.0,1331899.0,1558006.45,1453876.389,1328262.344,1416817.366,1473166.992,1400701.241,1481592.585,1489806.203,1742669.326,1746567.995,1659017.367,1365913.023,1706122.862,2153708.07,1907195.935,1941678.526,2642250.585,,,,,Nepal Bank Limited
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40143.0,100044.0,160719.0,257577.0,52417.0,129480.0,185343.0,254453.0,63993.0,183541.0,259935.0,376106.0,206163.0,353510.0,652737.0,763905.0,501701.0,546819.0,141954.845,256232.016,160233.911,203949.057,141084.384,201193.08,181907.633,175086.609,235656.2,295605.026,272700.116,214085.399,192341.871,203446.89,220197.22,181659.302,226936.364,,,,,Nepal Bank Limited
total operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741848.0,1596063.0,2506577.0,3920602.0,861101.0,2144629.0,3363405.0,5384254.0,1364107.0,2995669.0,4718358.0,6746156.0,1742441.0,3561829.0,5661665.0,7710133.0,1443053.0,3994362.0,1828270.902,1866016.282,1622408.818,1771574.223,1844591.795,1869377.382,1804198.497,1840383.805,2354908.42,2228081.19,2078214.378,1730281.121,1992971.606,2480111.001,2156989.228,2255017.631,2974611.783,,,,,Nepal Bank Limited
staff expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444936.0,952022.0,1704405.0,2437221.0,472767.0,1043125.0,1525902.0,2182252.0,540894.0,1125391.0,1680211.0,2356203.0,612360.0,1220199.0,1772620.0,2464887.0,517856.0,1224590.0,671513.2,218141.165,679980.133,440753.561,559809.095,488825.615,656259.595,578136.723,598127.932,493196.213,751206.676,548128.41,519048.311,706202.641,876568.128,927784.162,1025530.376,,,,,Nepal Bank Limited
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40364.0,139757.0,31310.0,455629.0,136445.0,643664.0,1221652.0,2211816.0,479016.0,1383829.0,2200631.0,3209880.0,728223.0,1779156.0,3117837.0,4213696.0,1281314.0,2312491.0,810871.594,1425267.682,610461.609,1124180.053,915869.015,839731.147,778923.807,1267299.048,1393143.963,1054057.326,950085.629,685251.043,977444.806,1498229.695,794029.353,720555.941,707032.23,,,,,Nepal Bank Limited
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8094.0,222888.0,230916.0,513201.0,10734.0,438063.0,782515.0,1735412.0,1189443.0,1193213.0,1243568.0,1248913.0,473014.0,494928.0,507899.0,522432.0,24235.0,61078.0,14598.364,3990.903,75579.009,134974.877,18953.729,46303.211,2414.803,27032.472,128455.991,67105.922,8139.151,42480.384,1074.226,167633.538,1126.837,9475.164,5600.737,,,,,Nepal Bank Limited
profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269199.0,387461.0,360658.0,526122.0,444366.0,1048189.0,1642750.0,3018782.0,1166084.0,1895076.0,2515852.0,3219560.0,971318.0,1638459.0,2567728.0,3399718.0,979175.0,1576875.0,584078.639,366404.041,581823.651,770573.212,644186.288,483665.569,550419.393,800003.708,911854.209,803180.391,754855.918,662202.917,775872.982,1073153.198,604098.054,566557.37,611674.574,,,,,Nepal Bank Limited
capital fund to rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28,4.78,4.58,7.8,7.83,9.11,9.55,11.41,12.12,12.21,13.52,15.61,16.59,16.41,18.02,17.6,23.92,15.98,17.02,17.41,18.01,17.41,15.9,16.68,17.03,16.13,13.67,17.91,16.42,15.39,15.17,15.04,15.43,14.35,13.89,,,,,Nepal Bank Limited
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,4.62,4.48,3.95,3.82,3.85,3.67,2.72,3.1,2.85,2.85,3.17,3.42,3.23,2.91,2.9,2.78,2.74,2.71,2.58,2.75,2.66,2.64,2.59,3.02,2.88,2.29,2.1,2.0,1.91,2.06,1.9,2.36,3.11,4.16,,,,,Nepal Bank Limited
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.22,109.13,105.2,109.8,111.39,111.76,111.87,115.49,107.28,109.02,110.48,109.0,99.27,102.81,108.77,105.99,123.07,114.05,118.3,115.95,111.73,114.61,119.46,123.52,112.77,109.57,124.8,137.29,141.18,142.83,133.96,139.76,120.85,102.52,88.1,,,,,Nepal Bank Limited
cost of fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,3.27,3.27,2.33,2.36,2.16,2.11,1.98,1.88,1.96,1.91,1.97,2.77,2.94,2.97,2.99,3.84,3.58,4.11,5.5,5.22,5.19,4.91,4.19,3.97,3.57,3.42,3.56,4.22,5.52,5.79,5.94,6.92,8.31,7.19,,,,,Nepal Bank Limited
base rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.27,7.1,7.86,7.21,6.79,6.35,6.27,6.13,6.0,6.32,5.93,6.29,6.9,6.93,7.11,7.03,7.52,6.06,6.92,7.98,7.84,7.82,7.49,6.99,6.81,6.19,5.98,5.73,5.93,6.92,8.19,7.99,8.92,9.9,9.92,,,,,Nepal Bank Limited
net interest spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,4.17,4.91,4.89,4.91,4.85,4.87,4.89,4.94,4.97,4.96,4.98,4.97,4.98,4.99,4.99,,4.99,5.5,4.45,4.47,4.44,4.49,3.7,4.38,4.39,4.37,4.34,3.69,2.91,3.39,4.08,3.66,4.26,4.1,,,,,Nepal Bank Limited
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.0,297.0,297.0,336.0,345.0,277.0,251.0,249.0,324.0,366.0,459.0,443.0,484.0,381.0,325.0,298.0,296.8,293.0,260.8,,,,,Nepal Bank Limited
return on equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.92,19.69,12.92,13.88,43.4,45.38,41.97,56.53,75.53,55.39,46.52,35.25,31.9,26.7,26.88,25.86,,,,,,,,,,,,,,,,,,,,,,,,Nepal Bank Limited
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,0.97,0.58,0.61,2.06,2.29,2.15,2.79,4.17,3.57,3.16,2.86,3.21,2.9,3.0,2.81,2.64,2.27,2.03,1.57,1.49,1.65,1.57,1.34,1.13,1.3,1.43,1.38,1.3,1.18,1.19,1.37,0.96,0.89,0.85,,,,,Nepal Bank Limited
credit to deposit ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.4,61.87,68.75,65.38,65.05,64.97,68.08,66.16,70.28,75.89,79.16,70.79,69.84,75.3,76.48,69.63,71.09,71.47,74.32,70.17,68.63,74.93,73.65,65.78,66.54,69.49,75.55,74.34,86.23,89.62,90.36,87.57,85.14,82.12,77.74,,,,,Nepal Bank Limited
debt ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.4,0.01,0.01,0.03,2.99,0.08,0.03,,0.07,0.51,0.35,0.13,0.56,0.03,0.46,0.48,0.35,0.45,,,0.9,2.81,2.63,2.47,2.53,,,,,Nepal Bank Limited
interest income to assets ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,2.9,4.3,5.86,1.31,2.9,4.07,5.86,1.4,3.11,4.96,6.71,1.68,3.76,5.79,6.68,0.9,2.16,1.75,1.68,1.85,1.74,1.73,1.5,1.51,1.35,1.44,1.41,1.44,1.51,1.76,2.02,2.13,2.22,2.39,,,,,Nepal Bank Limited
interest income margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,1.74,2.66,3.84,0.81,1.98,2.85,4.33,1.05,2.4,3.84,5.18,1.15,2.6,4.02,4.64,0.24,0.91,1.06,0.88,0.85,0.86,0.87,0.74,0.76,0.72,0.82,0.78,0.71,0.57,0.7,0.83,0.76,0.74,0.95,,,,,Nepal Bank Limited
return on investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.49,0.44,0.61,0.51,1.15,1.61,2.79,1.04,1.78,2.37,2.86,0.8,1.45,2.25,2.45,0.71,1.08,0.4,0.22,0.37,0.47,0.38,0.25,0.28,0.39,0.43,0.36,0.32,0.27,0.32,0.41,0.24,0.22,0.22,,,,,Nepal Bank Limited
commission to operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.41,6.27,6.41,6.57,6.09,6.04,5.51,4.73,4.69,6.13,5.51,5.58,11.83,9.92,11.53,9.91,34.77,13.69,7.76,13.73,9.88,11.51,7.65,10.76,10.08,9.51,10.01,13.27,13.12,12.37,9.65,8.2,10.21,8.06,7.63,,,,,Nepal Bank Limited
staff expense to income ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.98,59.65,68.0,62.16,54.9,48.64,45.37,40.53,39.65,37.57,35.61,34.93,35.14,34.26,31.31,31.97,35.89,30.66,36.73,11.69,41.91,24.88,30.35,26.15,36.37,31.41,25.4,22.14,36.15,31.68,26.04,28.47,40.64,41.14,34.48,,,,,Nepal Bank Limited
net profit margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.29,24.28,14.39,13.42,51.6,48.88,48.84,56.07,85.48,63.26,53.32,47.72,55.74,46.0,45.35,44.09,67.85,39.48,31.95,19.64,35.86,43.5,34.92,25.87,30.51,43.47,38.72,36.05,36.32,38.27,38.93,43.27,28.01,25.12,20.56,,,,,Nepal Bank Limited
income tax portion of operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.28,1011.24,583.17,467.4,529.04,782.05,724.71,558.49,564.15,551.73,593.06,653.08,526.26,396.94,676.51,719.26,654.62,,,,,Nepal Bank Limited
loan to deposit ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,64.96,72.18,68.42,68.47,68.73,72.39,71.05,76.58,83.48,88.39,79.17,79.48,85.65,87.77,79.77,84.61,81.19,86.47,81.67,84.45,87.56,86.26,75.86,77.27,80.59,87.79,86.7,89.47,92.93,93.62,119.22,88.28,82.84,78.27,,,,,Nepal Bank Limited
reserves,,,,,,,,,,,,,,,,,,,,,,,,,2544713.0,3043898.0,3280583.0,2703935.0,2891330.0,2369010.0,2575362.0,2789506.0,2907222.0,3074690.0,2305830.0,2563300.0,2873859.0,2187598.0,2647956.0,3065267.0,3491800.0,2362061.0,2656444.0,8031117.0,3234188.0,5096951.0,4411258.0,4057596.128,3882669.504,4532948.146,5083416.832,6098827.203,5891675.303,6762681.603,6965917.08,7522200.598,7451172.524,8475793.904,9033120.691,10014484.58,10008774.51,11280717.72,13161879.5,14458293.74,,,,,Nic Asia Bank
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,3500000.0,3500000.0,3500000.0,5423932.0,5319818.0,,,,,,,,,,,,,,,,,,,,,,Nic Asia Bank
borrowings,,,,,,,,,,,,,,,,,,,,,,,,,184897.0,196100.0,196800.0,,,2450000.0,,,,,1400000.0,2200000.0,1850000.0,2400000.0,1550000.0,,500000.0,4416130.0,2159263.0,12500.0,742269.0,1250579.0,10149433.0,1289592.202,,,,,,,,,,,,,,,,,,,,,Nic Asia Bank
deposits,,,,,,,,,,,,,,,,,,,,,,,,,39908774.0,37855785.0,38441092.0,40569954.0,44982855.0,46884946.0,48092210.0,49235425.0,53477184.0,53848168.0,58318343.0,64146038.0,69487997.0,72478708.0,79071616.0,78994431.0,86679130.0,103647682.0,120231730.0,133703712.0,151199986.0,168159153.0,175764356.0,154519008.5,177368823.1,178927637.9,179384920.7,187505935.9,201350720.9,232242107.9,268718602.2,277504706.8,289293739.7,280705644.4,297752715.2,299110673.6,292756561.3,307709846.2,308613448.9,317280569.3,,,,,Nic Asia Bank
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10532.0,79910.0,73541.0,23208.0,,97068.0,30404.0,,,185800.0,245168.0,399483.0,9998.0,,,978664.385,458776.755,1064297.894,763019.78,991747.504,1638305.154,814562.814,535898.224,342661.76,336889.823,683623.511,557548.649,563836.146,267772.251,934773.495,720302.969,328856.165,,,,,Nic Asia Bank
other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,1586173.0,2216796.0,2292676.0,887932.0,792622.0,1241260.0,1165027.0,1197460.0,991073.0,1231086.0,1405960.0,1257456.0,1180586.0,1218598.0,1191679.0,1465779.0,1357690.0,1325869.0,3133240.0,3701160.0,5203555.0,7938809.0,9132568.0,16631808.57,2103741.38,2406275.955,2562693.033,2626692.148,7071166.733,5006997.066,5958290.758,6503372.499,5777781.152,6412507.417,4792985.783,5108065.301,7468232.689,6226921.292,7765355.439,7019447.002,,,,,Nic Asia Bank
total assets,,,,,,,,,,,,,,,,,,,,,,,,,46536111.0,45624131.0,46522703.0,46473372.0,51478358.0,56103500.0,54990884.0,56380675.0,60544295.0,61392139.0,67698690.0,74385018.0,80467817.0,84701623.0,90811305.0,90383469.0,99221217.0,120468658.0,139956962.0,152371504.0,171921113.0,195900532.0,213611661.0,230108527.2,220181542.6,227005143.6,227418995.7,237259892.0,256850893.0,293034013.2,327687607.7,355182218.3,361961849.7,397141745.4,368126643.8,370682440.8,380973673.3,381155876.9,379269317.2,384275926.7,,,,,Nic Asia Bank
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,31559547.0,31803134.0,31838530.0,33292198.0,36311344.0,37464735.0,39405371.0,41763516.0,42166475.0,44244089.0,46271552.0,52498344.0,58457110.0,61014317.0,66422745.0,67254521.0,71583360.0,86741927.0,102222495.0,109031406.0,120666391.0,139264589.0,149303944.0,151026106.9,152482469.4,165853080.7,167708609.0,180239365.0,178216032.3,207165192.4,237482168.5,271463653.2,275147984.1,295465322.1,292797009.8,294070383.3,285140292.9,291087840.0,284574060.8,292934212.7,,,,,Nic Asia Bank
interest income,,,,,,,,,,,,,,,,,,,,,,,,,4205190.0,999763.0,2004802.0,2957913.0,3995005.0,972242.0,815028.0,1222529.0,3917792.0,1025608.0,2073755.0,3163693.0,4421136.0,560074.0,1153847.0,1847886.0,6905855.0,599385.0,5559338.0,9104388.0,13261944.0,4814449.0,9656182.0,5040440.924,5124766.984,5319195.443,5200737.652,5357679.873,5646942.771,5376821.894,5683925.493,7051638.561,7400029.941,7946364.898,8601469.331,9269599.475,10530466.94,10666651.49,10145149.85,10022647.65,,,,,Nic Asia Bank
interest expense,,,,,,,,,,,,,,,,,,,,,,,,,2435916.0,598901.0,1148077.0,1648682.0,2196783.0,564454.0,1123473.0,1679044.0,2340288.0,652456.0,1232626.0,1786999.0,2444176.0,706292.0,1542056.0,2818096.0,4357559.0,1909469.0,4008135.0,6433992.0,9335099.0,2951662.0,6048565.0,3231359.288,3298879.751,3353944.024,3281268.343,3450657.916,3312680.141,3214196.994,3490945.418,3866560.788,4349689.49,4799127.62,5690320.737,5909253.309,6617619.629,6960791.677,6977331.156,6866512.809,,,,,Nic Asia Bank
net interest income,,,,,,,,,,,,,,,,,,,,,,,,,1769274.0,400862.0,856725.0,1309231.0,1798222.0,407788.0,-308445.0,-456515.0,1577504.0,373152.0,841129.0,1376694.0,1976960.0,-146218.0,-388209.0,-970210.0,2548296.0,-1310084.0,1551203.0,2670396.0,3926845.0,1862787.0,3607617.0,1809081.636,1825887.233,1965251.419,1919469.309,1907021.957,2334262.63,2162624.9,2192980.075,3185077.773,3050340.451,3147237.278,2911148.594,3360346.166,3912847.311,3705859.811,3167818.689,3156134.844,,,,,Nic Asia Bank
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,170726.0,46030.0,99462.0,88494.0,112242.0,27622.0,60878.0,93768.0,131624.0,33305.0,70874.0,118631.0,143687.0,31192.0,75923.0,105655.0,147740.0,52152.0,110197.0,170529.0,203591.0,380684.0,799159.0,663496.982,630913.119,707488.701,656024.175,596913.158,633468.783,447558.575,550645.998,625841.631,441411.057,648799.885,500119.817,528898.05,839824.836,673720.602,533243.149,914318.348,,,,,Nic Asia Bank
total operating income,,,,,,,,,,,,,,,,,,,,,,,,,2187747.0,478938.0,1049801.0,1614158.0,2237875.0,528820.0,1063639.0,1612274.0,2102243.0,512730.0,1120238.0,1836226.0,2632471.0,745281.0,1562342.0,2489894.0,3455133.0,901844.0,2084901.0,3483469.0,5118636.0,2354279.0,4611139.0,2585490.483,2565790.725,2781857.782,2659834.045,2941483.801,2980344.519,2752500.825,2885498.152,3913031.099,3659225.187,4073510.856,3518985.607,3990479.669,4778087.917,4567430.052,3813799.826,4148763.117,,,,,Nic Asia Bank
staff expenses,,,,,,,,,,,,,,,,,,,,,,,,,356442.0,92055.0,167753.0,244346.0,373887.0,111186.0,204559.0,306309.0,421778.0,125493.0,232585.0,366502.0,543319.0,197449.0,375877.0,585558.0,851727.0,223201.0,479322.0,921880.0,1413710.0,696311.0,1226348.0,612946.82,736422.279,730369.841,634070.136,721744.141,989312.869,766565.013,723551.249,1114652.552,1221578.908,1119227.746,1067741.748,1199063.406,1752412.264,1382981.266,1131858.426,1277828.073,,,,,Nic Asia Bank
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,937075.0,227782.0,523475.0,851093.0,1157227.0,220798.0,478375.0,761803.0,893102.0,182644.0,615997.0,926546.0,1349353.0,326155.0,763750.0,1321846.0,1698620.0,356434.0,763949.0,1212878.0,1570707.0,1061607.0,2137050.0,1111190.751,1425793.723,1525493.47,1566310.061,733174.31,988112.264,1571253.38,1684702.027,1775060.572,731617.179,1948571.001,2059919.599,1919919.57,1496761.067,2658901.118,2334949.169,1239961.846,,,,,Nic Asia Bank
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,9133.0,7.0,3100.0,8737.0,7353.0,1858.0,2568.0,1679.0,13413.0,3.0,4891.0,8968.0,22882.0,32397.0,55060.0,25455.0,33489.0,19895.0,32438.0,40827.0,53181.0,13675.0,22177.0,5967.322,-103350.755,12779.861,-35593.072,-3082.033,-11636.314,365.809,-39699.876,-8655.662,4668.256,11070.272,,25062.597,-5014.954,-17265.04,25.275,-29908.145,,,,,Nic Asia Bank
profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,619986.0,144948.0,385355.0,627311.0,814706.0,154263.0,360615.0,574759.0,692474.0,157391.0,502061.0,759532.0,1070091.0,261046.0,721404.0,1138783.0,1471304.0,277923.0,572111.0,932753.0,1190929.0,752697.0,1511459.0,782010.651,1218277.494,1076791.331,1071501.893,508884.789,706064.111,1100133.433,1151501.506,1235796.253,437472.916,1371748.891,1441943.719,1361487.517,1061054.231,1849144.761,1634528.196,845163.925,,,,,Nic Asia Bank
capital fund to rwa,,,,,,,,,,,,,,,,,,,,,,,,,14.18,14.29,13.77,13.84,14.89,13.88,13.91,13.27,13.16,12.54,12.44,11.76,12.66,12.55,12.45,13.69,13.95,12.18,13.82,13.18,12.54,12.48,11.97,13.3,13.6,12.67,12.99,12.31,13.8,12.65,12.52,11.72,12.46,12.26,12.51,13.21,13.54,13.23,13.31,12.76,,,,,Nic Asia Bank
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,2.32,2.9,2.96,2.77,2.25,2.62,2.41,2.14,1.99,1.83,1.4,1.11,0.82,0.9,0.72,0.46,0.36,0.29,0.28,0.22,0.06,0.26,0.3,0.45,0.44,0.44,0.46,0.75,0.76,0.44,0.44,0.53,0.49,0.56,0.5,0.58,0.56,0.83,0.84,1.12,,,,,Nic Asia Bank
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,113.89,97.93,99.33,103.8,118.73,97.25,109.96,119.82,134.88,139.18,157.36,189.03,220.62,193.85,220.92,306.65,371.0,438.0,477.0,525.0,1550.48,445.0,376.0,295.52,276.0,281.0,279.0,214.0,223.0,351.2,1069.0,254.4,349.7,310.4,351.2,309.87,353.99,325.81,227.04,184.59,,,,,Nic Asia Bank
cost of fund,,,,,,,,,,,,,,,,,,,,,,,,,6.88,6.54,6.4,6.18,5.99,5.03,5.06,5.03,5.12,5.11,4.85,4.55,4.41,4.15,4.49,5.29,6.07,8.03,7.6,7.84,7.67,7.15,7.16,7.09,6.97,7.06,7.04,7.13,5.87,5.04,5.21,5.05,5.34,5.8,7.16,7.34,7.53,8.22,8.55,8.15,,,,,Nic Asia Bank
base rate,,,,,,,,,,,,,,,,,,,,,,,,,9.59,9.36,8.69,8.03,7.88,7.35,7.78,7.57,7.96,7.3,6.69,6.27,6.44,6.5,7.39,10.0,11.27,10.78,10.74,11.5,11.16,10.77,9.33,9.3,9.48,9.56,9.85,9.69,8.03,6.56,16.87,6.79,6.88,7.54,9.54,9.49,9.39,10.79,11.19,10.67,,,,,Nic Asia Bank
net interest spread,,,,,,,,,,,,,,,,,,,,,,,,,3.81,3.68,4.2,4.37,4.06,3.27,3.63,3.58,3.52,3.01,3.21,3.48,3.49,3.36,3.32,3.53,3.39,3.47,4.27,4.77,5.1,4.99,4.98,4.96,4.41,5.18,5.24,5.15,5.01,4.42,4.59,4.55,4.11,4.12,3.93,4.67,4.64,4.65,4.38,4.2,,,,,Nic Asia Bank
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.0,,,,,,,,316.0,,386.0,,,,,,,,,,,,,,,,,,,,,,Nic Asia Bank
